name,weights,inputs,outputs,T,C,M,P,Q,R,S,HS,WS
w1.0_i0.01_o0.139,1.0,0.01,0.139,20,128,128,32,32,3,3,1,1
w1.0_i0.02_o0.166,1.0,0.02,0.166,20,128,128,32,32,3,3,1,1
w1.0_i0.03_o0.182,1.0,0.03,0.182,20,128,128,32,32,3,3,1,1
w1.0_i0.04_o0.193,1.0,0.04,0.193,20,128,128,32,32,3,3,1,1
w1.0_i0.05_o0.203,1.0,0.05,0.203,20,128,128,32,32,3,3,1,1
w1.0_i0.06_o0.211,1.0,0.06,0.211,20,128,128,32,32,3,3,1,1
w1.0_i0.07_o0.218,1.0,0.07,0.218,20,128,128,32,32,3,3,1,1
w1.0_i0.08_o0.224,1.0,0.08,0.224,20,128,128,32,32,3,3,1,1
w1.0_i0.09_o0.23,1.0,0.09,0.23,20,128,128,32,32,3,3,1,1
w1.0_i0.1_o0.236,1.0,0.1,0.236,20,128,128,32,32,3,3,1,1
w1.0_i0.11_o0.241,1.0,0.11,0.241,20,128,128,32,32,3,3,1,1
w1.0_i0.12_o0.246,1.0,0.12,0.246,20,128,128,32,32,3,3,1,1
w1.0_i0.13_o0.251,1.0,0.13,0.251,20,128,128,32,32,3,3,1,1
w1.0_i0.14_o0.256,1.0,0.14,0.256,20,128,128,32,32,3,3,1,1
w1.0_i0.15_o0.26,1.0,0.15,0.26,20,128,128,32,32,3,3,1,1
w1.0_i0.16_o0.264,1.0,0.16,0.264,20,128,128,32,32,3,3,1,1
w1.0_i0.17_o0.269,1.0,0.17,0.269,20,128,128,32,32,3,3,1,1
w1.0_i0.18_o0.272,1.0,0.18,0.272,20,128,128,32,32,3,3,1,1
w1.0_i0.19_o0.276,1.0,0.19,0.276,20,128,128,32,32,3,3,1,1
w1.0_i0.2_o0.28,1.0,0.2,0.28,20,128,128,32,32,3,3,1,1
w1.0_i0.21_o0.284,1.0,0.21,0.284,20,128,128,32,32,3,3,1,1
w1.0_i0.22_o0.287,1.0,0.22,0.287,20,128,128,32,32,3,3,1,1
w1.0_i0.23_o0.291,1.0,0.23,0.291,20,128,128,32,32,3,3,1,1
w1.0_i0.24_o0.294,1.0,0.24,0.294,20,128,128,32,32,3,3,1,1
w1.0_i0.25_o0.297,1.0,0.25,0.297,20,128,128,32,32,3,3,1,1
w1.0_i0.26_o0.301,1.0,0.26,0.301,20,128,128,32,32,3,3,1,1
w1.0_i0.27_o0.304,1.0,0.27,0.304,20,128,128,32,32,3,3,1,1
