name,weights,inputs,outputs,T,C,M,P,Q,R,S,HS,WS
w1.0_i0.5_o0.2597_C_32,1.0,0.5,0.2597,100,32,32,32,32,3,3,1,1
w1.0_i0.401_o0.2391_C_32,1.0,0.401,0.2391,100,32,32,32,32,3,3,1,1
w1.0_i0.3_o0.2175_C_32,1.0,0.3,0.2175,100,32,32,32,32,3,3,1,1
w1.0_i0.2_o0.1927_C_32,1.0,0.2,0.1927,100,32,32,32,32,3,3,1,1
w1.0_i0.1_o0.1613_C_32,1.0,0.1,0.1613,100,32,32,32,32,3,3,1,1
w1.0_i0.05_o0.135_C_32,1.0,0.05,0.135,100,32,32,32,32,3,3,1,1
w1.0_i0.01_o0.0786_C_32,1.0,0.01,0.0786,100,32,32,32,32,3,3,1,1
w1.0_i0.001_o0.017_C_32,1.0,0.001,0.017,100,32,32,32,32,3,3,1,1
w0.8_i0.5_o0.2716_C_32,0.8,0.5,0.2716,100,32,32,32,32,3,3,1,1
w0.8_i0.4_o0.2518_C_32,0.8,0.4,0.2518,100,32,32,32,32,3,3,1,1
w0.8_i0.3_o0.2306_C_32,0.8,0.3,0.2306,100,32,32,32,32,3,3,1,1
w0.8_i0.2_o0.2064_C_32,0.8,0.2,0.2064,100,32,32,32,32,3,3,1,1
w0.8_i0.1_o0.1739_C_32,0.8,0.1,0.1739,100,32,32,32,32,3,3,1,1
w0.8_i0.05_o0.1475_C_32,0.8,0.05,0.1475,100,32,32,32,32,3,3,1,1
w0.8_i0.01_o0.0871_C_32,0.8,0.01,0.0871,100,32,32,32,32,3,3,1,1
w0.8_i0.001_o0.0204_C_32,0.8,0.001,0.0204,100,32,32,32,32,3,3,1,1
w0.6_i0.5_o0.252_C_32,0.6,0.5,0.252,100,32,32,32,32,3,3,1,1
w0.6_i0.4_o0.2353_C_32,0.6,0.4,0.2353,100,32,32,32,32,3,3,1,1
w0.6_i0.299_o0.2187_C_32,0.6,0.299,0.2187,100,32,32,32,32,3,3,1,1
w0.6_i0.2_o0.1996_C_32,0.6,0.2,0.1996,100,32,32,32,32,3,3,1,1
w0.6_i0.1_o0.1738_C_32,0.6,0.1,0.1738,100,32,32,32,32,3,3,1,1
w0.6_i0.05_o0.1513_C_32,0.6,0.05,0.1513,100,32,32,32,32,3,3,1,1
